,Country,City,Latitude,Longitude,Temp,Humidity,Cloudiness,Wind Speed
41407,ua,krasnyy luch,48.139542,38.93715,68,45,0,4.38
27182,ph,bais,9.5375,123.0981,86,79,20,4.7
10456,ee,kohila,59.168055599999995,24.7575,37.4,100,90,8.05
31080,pl,dobre miasto,53.987652000000004,20.390809,36.08,93,80,17.92
3536,br,padre bernardo,-15.35,-48.5,73.25,80,48,3.38
41265,ua,dubno,50.416937,25.734325,30.77,88,0,14.34
15605,hu,hajduszovat,47.383333,21.483333,41,94,88,13.87
40635,tr,konya,37.871354,32.484636,21.2,85,0,2.24
24917,mx,zacatepec,18.65,-99.2,73.4,40,40,1.7
28559,ph,lanuza,9.234167,126.064444,85.53,77,12,1.36
12092,fr,tarascon,43.805769,4.665598,44.87,93,80,3.71
27479,ph,bocaue,14.798333,120.926111,82.4,94,90,10.29
22539,lu,leudelange,49.5683333,6.0652778,39.81,93,36,9.17
44477,us,seabrook,42.894722200000004,-70.8716667,39.11,48,75,5.82
40887,tz,ilembula,-8.9,34.5833333,62.63,94,88,5.95
26641,pe,eten,-6.9080556,-79.8641667,66.2,82,20,20.8
36097,ru,kadyy,57.787037,43.190288,12,100,32,7.85
10204,dk,vildbjerg,56.2,8.766667,40.03,80,56,23.04
17540,in,devaprayag,30.15,78.616667,53.27,68,0,3.6
37304,ru,novogagatli,43.456769,46.481753000000005,30.99,99,92,4.94
11691,fr,jouy-le-moutier,49.010676000000004,2.040282,39,93,0,6.93
16735,il,ashqelon,31.669256,34.571490000000004,50,76,0,3.36
37505,ru,osinovo,55.8809,48.881,21.2,100,90,6.71
45511,us,sturgis,44.4097222,-103.5086111,22.62,73,90,10.29
16518,id,sukaraja,-7.458056,109.28805600000001,79.28,80,8,1.7
5443,ch,oberentfelden,47.360291,8.039193,35.98,100,92,4.7
46213,uy,rio branco,-32.5666667,-53.4166667,77,83,0,1.59
14036,gr,nikoklia,40.9333333,23.4333333,35.6,80,0,2.24
17771,in,gorur,12.819444,76.071667,68.43,100,68,4.27
26408,pa,el coco,8.4,-80.35,79.9,94,40,3.27
36559,ru,krasnogvardeyskoye,45.099969,39.544536,30.27,94,88,7.74
24142,mx,mocorito,25.483333,-107.91666699999999,69.51,52,0,9.19
32635,ro,chiheru de jos,46.683333000000005,24.883333,26.6,92,0,5.82
24937,mx,zaragoza,21.283333,-97.716667,36.73,79,40,4.7
19763,in,virpur,23.183332999999998,73.483333,65.91,80,0,12.55
24443,mx,san juan del rio,20.383333,-100.0,64.4,45,40,6.93
30003,ph,san roque,15.261463000000001,120.651831,50,93,0,2.24
21489,jp,kitaibaraki,36.783333,140.75,42.8,75,75,9.17
38784,ru,ust-omchug,61.15,149.633333,-34.13,0,32,2.59
21938,jp,yasugi,35.433333000000005,133.25,46.4,100,40,14.99
3148,br,itirucu,-13.516667000000002,-40.15,70.05,96,24,5.61
6866,co,fomeque,4.487967,-73.897488,67.66,62,40,4.7
42537,us,san marino,34.1213889,-118.10555559999999,48.18,76,0,9.17
341,am,odzun,41.0538889,44.611388899999994,23.3,84,88,5.39
20906,it,san giorgio del sannio,41.066666999999995,14.85,45.18,81,40,2.71
6806,co,distraccion,10.896933,-72.886099,82.4,69,40,9.17
42335,us,grand terrace,34.033888899999994,-117.31277779999999,67.57,9,1,6.29
34600,ro,urziceni,47.733333,22.4,31.12,92,0,6.93
399,am,vardadzor,40.1916667,45.1875,28.4,74,88,2.24
42576,us,spring valley,32.7447222,-116.99805559999999,53.55,11,1,6.06
12368,gb,cairneyhill,56.05,-3.5333330000000003,34.43,74,0,6.93
